asset_id,section,page_slug,asset_type,placement,description,style,priority,status
atlas_whole_plant_001,atlas,,interactive reference,hero,Whole cannabis plant anatomy plate with selectable seed roots stem nodes leaves flowers trichomes and reproductive structures,academic studio quality,critical,needed
lifecycle_stages_001,lifecycle,,comparison sequence,hero,Germination seedling vegetative transition flowering and maturation side-by-side morphology sequence,academic botanical illustration,critical,needed
seed_anatomy_001,seed_germination,seed-anatomy,labeled cutaway,hero,Seed coat embryo cotyledons radicle and micropyle shown in one clear cutaway,academic botanical plate,high,needed
seed_germination_sequence_001,seed_germination,germination-sequence,time sequence,hero,Imbibition seed cracking radicle emergence hypocotyl rise cotyledon opening and first true leaf,academic time-sequence illustration,high,needed
seed_failure_patterns_001,seed_germination,germination-failures,comparison chart,body,Stalled seed shell retention tissue collapse damping-off risk and excessive moisture pattern comparison,diagnostic reference chart,high,needed
roots_cutaway_001,root_system,root-architecture,cutaway diagram,hero,Container root-zone cutaway showing primary roots lateral roots fine roots root hairs media water and air pores,academic studio cutaway,critical,needed
root_hairs_001,root_system,root-hairs,microscope diagram,body,Root tip and root-hair zone with absorbing surface highlighted,microscope-style illustration,high,needed
rhizosphere_map_001,root_system,rhizosphere,interaction map,hero,Root surface exudates microbes ions water oxygen and media interactions in rhizosphere,academic systems diagram,high,needed
root_uptake_flow_001,root_system,water-nutrient-uptake,flow diagram,body,Water and dissolved-ion path from substrate to root surface into vascular tissue,academic flow diagram,high,needed
root_stress_001,root_system,root-stress,comparison plate,hero,Healthy roots compared with low oxygen saturation excessive dryback salt stress and tissue decline,diagnostic reference chart,high,needed
stem_cross_section_001,stem_vascular,stem-cross-section,labeled cross-section,hero,Epidermis cortex vascular tissues xylem phloem cambium region and pith in simplified cannabis stem,academic botanical plate,critical,needed
xylem_phloem_001,stem_vascular,vascular-transport,animated flow reference,hero,Xylem water/mineral upward movement and phloem source-to-sink transport shown simultaneously,academic flow diagram,critical,needed
internode_comparison_001,stem_vascular,internodal-spacing,comparison chart,body,Short moderate and elongated internodes with measurement reference and contextual variables,academic comparison chart,high,needed
stem_damage_001,stem_vascular,damage-recovery,time sequence,body,Bent crushed split and recovering stem tissues with support and transport implications,semi-realistic botanical sequence,medium,needed
node_anatomy_001,nodes_branching,node-anatomy,labeled diagram,hero,Node internode petiole axillary bud branch origin and apical shoot relationship,academic botanical diagram,critical,needed
